folder,material,alkaline_earth,boron_family,halogen,qtd_atoms,volume,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,space_group,etotal,Hf,Hf_per_atom,PDEntry,bandgap,direct,transition,e_above_hull
MgGaCl5,MgGaCl5,Mg,Ga,Cl,2.0,395.266241710772,6.927955955787926,6.928657970264529,11.299253812438144,117.80149773962488,117.8079000759679,59.84569538612104,9,-45.59943764,-22.368762078,-1.5977687198571426,PDEntry : Ga2 Mg2 Cl10 with energy = -45.5994,3.2674000000000003,False,"(0.250,0.000,0.000)-(0.000,0.000,0.000)",0.1176262096428564
MgGaCl5_C2c,MgGaCl5,Mg,Ga,Cl,2.0,334.5245716384688,6.454454997335561,6.454454676098439,9.854788734568194,66.82655729521963,66.82657315420094,67.71467979696807,15,-44.40336678,-21.172691218,-1.512335087,PDEntry : Mg2 Ga2 Cl10 (MgGaCl5_C2c) with energy = -44.4034,2.2605000000000004,True,"(0.000,0.000,0.000)-(0.000,0.000,0.000)",0.2030598424999992
MgGaCl5_I4,MgGaCl5,Mg,Ga,Cl,16.0,3104.016049069314,17.00568381358613,17.00568381358613,10.733361535750934,90.0,90.0,90.00000000000001,79,-361.00926833,-175.16386383399998,-1.5639630699464284,PDEntry : Mg16 Ga16 Cl80 (MgGaCl5_I4) with energy = -361.0093,2.4255,True,"(0.000,0.000,0.000)-(0.000,0.000,0.000)",0.1514318595535706
MgGaCl5_Immm,MgGaCl5,Mg,Ga,Cl,2.0,523.4826340644908,4.378325065461088,10.851312021597211,11.018234856966885,90.0,90.0,90.00000000000001,71,-40.18635898,-16.955683418,-1.211120244142857,PDEntry : Mg2 Ga2 Cl10 (MgGaCl5_Immm) with energy = -40.1864,1.9456,False,"(0.500,0.000,0.500)-(0.000,0.000,0.000)",0.5042746853571418
MgGaCl5_P12_11,MgGaCl5,Mg,Ga,Cl,4.0,915.3693971830228,9.475730481936363,15.685268607554583,7.127636641143785,90.0,120.2239422247286,90.0,4,-93.89228633,-47.430935206,-1.6939619716428571,PDEntry : Mg4 Ga4 Cl20 (MgGaCl5_P12_11) with energy = -93.8923,4.0494,False,"(-0.333,0.000,0.250)-(0.000,0.000,0.000)",0.0214329578571419
MgGaCl5_P21c,MgGaCl5,Mg,Ga,Cl,4.0,933.2160469487528,12.442264978866795,7.152079648473782,13.189187788869576,52.66653609486101,90.0,90.0,14,-94.10011079,-47.638759666,-1.7013842737857143,PDEntry : Mg4 Ga4 Cl20 (MgGaCl5_P21c) with energy = -94.1001,4.328799999999999,False,"(0.500,0.500,0.500)-(0.000,0.000,0.000)",0.0140106557142849
MgGaCl5_P2_12_121_BaAlF5,MgGaCl5,Mg,Ga,Cl,4.0,860.8177081143075,6.87133738839293,6.263985344659329,19.999502209718237,90.0,90.0,90.00000000000001,19,-93.83810805,-47.376756926,-1.6920270330714284,PDEntry : Mg4 Ga4 Cl20 (MgGaCl5_P2_12_121_BaAlF5) with energy = -93.8381,4.223599999999999,False,"(0.000,0.250,0.000)-(0.000,0.000,0.000)",0.0233678964285704
MgGaCl5_P2_12_121_BaGaF5,MgGaCl5,Mg,Ga,Cl,4.0,851.5557587278383,6.879493817935364,6.257490173986976,19.78137286668357,90.0,90.0,90.00000000000001,19,-93.83371891,-47.372367786,-1.6918702780714283,PDEntry : Mg4 Ga4 Cl20 (MgGaCl5_P2_12_121_BaGaF5) with energy = -93.8337,4.2017,False,"(0.000,0.250,0.000)-(0.000,0.000,0.000)",0.0235246514285707
MgGaF3,MgGaF3,Mg,Ga,F,12.0,265.1856488759817,7.394649242074805,3.0643342985517035,11.702975527635708,90.0,89.99951372237449,90.0,62,-92.68826009,-60.651255116,-3.0325627558,PDEntry : F12 Ga4 Mg4 with energy = -92.6883,1.9891999999999996,True,"(0.000,0.500,0.000)-(0.000,0.500,0.000)",0.0
MgGaF5,MgGaF5,Mg,Ga,F,2.0,163.01001893119798,5.1327095964345215,5.1327095964345215,7.284451132200261,111.17262957175254,111.17262957175254,71.5514592340872,15,-68.39848558,-45.986570743,-3.2847550530714287,PDEntry : Mg2 F10 Ga2 with energy = -68.3985,5.5829,True,"(0.000,0.000,0.000)-(0.000,0.000,0.000)",0.0
